"run_id","event_id","run_type","service","target","fault_type","intensity","start_time","end_time","baseline_start","baseline_end","observe_end","expected_fault_window_start","expected_fault_window_end","status","notes"
run_005,event_06,single_fault_serial,carts,carts-b6c5c87f9-wc5zx,pause,60s,2026-06-17 01:04:28,2026-06-17 01:05:28,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:06:26,2026-06-17 01:04:26,2026-06-17 01:05:26,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_12,single_fault_serial,orders,orders-6cfcf6794c-rc4db,pause,75s,2026-06-17 01:07:28,2026-06-17 01:08:29,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:09:26,2026-06-17 01:07:26,2026-06-17 01:08:26,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_13,single_fault_serial,front-end,front-end-87ff7b849-6bg67,pause,75s,2026-06-17 01:10:05,2026-06-17 01:11:05,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:12:02,2026-06-17 01:10:02,2026-06-17 01:11:02,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_07,single_fault_serial,orders,orders-6cfcf6794c-rc4db,pause,60s,2026-06-17 01:12:53,2026-06-17 01:13:53,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:14:50,2026-06-17 01:12:50,2026-06-17 01:13:50,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_01,single_fault_serial,carts,carts-b6c5c87f9-wc5zx,pause,60s,2026-06-17 01:15:54,2026-06-17 01:16:54,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:17:50,2026-06-17 01:15:50,2026-06-17 01:16:50,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_14,single_fault_serial,catalogue,catalogue-744d46f784-b8m2g,pause,75s,2026-06-17 01:18:47,2026-06-17 01:19:47,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:20:43,2026-06-17 01:18:43,2026-06-17 01:19:43,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_08,single_fault_serial,front-end,front-end-87ff7b849-6bg67,pause,60s,2026-06-17 01:21:27,2026-06-17 01:22:28,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:23:23,2026-06-17 01:21:23,2026-06-17 01:22:23,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_10,single_fault_serial,user,user-9c64594b7-ww7bs,pause,60s,2026-06-17 01:24:21,2026-06-17 01:25:21,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:26:16,2026-06-17 01:24:16,2026-06-17 01:25:16,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_03,single_fault_serial,front-end,front-end-87ff7b849-6bg67,pause,60s,2026-06-17 01:27:21,2026-06-17 01:28:22,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:29:16,2026-06-17 01:27:16,2026-06-17 01:28:16,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_02,single_fault_serial,orders,orders-6cfcf6794c-rc4db,pause,60s,2026-06-17 01:30:20,2026-06-17 01:31:20,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:32:14,2026-06-17 01:30:14,2026-06-17 01:31:14,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_04,single_fault_serial,catalogue,catalogue-744d46f784-b8m2g,pause,60s,2026-06-17 01:32:50,2026-06-17 01:33:50,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:34:44,2026-06-17 01:32:44,2026-06-17 01:33:44,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_005,event_15,single_fault_serial,user,user-9c64594b7-ww7bs,pause,75s,2026-06-17 01:35:37,2026-06-17 01:36:37,2026-06-17 00:48:11,2026-06-17 00:56:11,2026-06-17 01:37:30,2026-06-17 01:35:30,2026-06-17 01:36:30,executed,标准轮 5：15 次 pause，模拟更长时间的服务冻结
run_006,event_09,single_fault_serial,catalogue,catalogue-744d46f784-b8m2g,pause,60s,2026-06-17 09:02:11,2026-06-17 09:03:12,2026-06-17 08:54:11,2026-06-17 09:02:11,2026-06-17 09:04:11,2026-06-17 09:02:11,2026-06-17 09:03:11,executed,标准轮 6：run_005 的重复轮，用于重复性检验
run_006,event_01,single_fault_serial,carts,carts-b6c5c87f9-wc5zx,pause,60s,2026-06-17 09:04:46,2026-06-17 09:05:46,2026-06-17 08:54:11,2026-06-17 09:02:11,2026-06-17 09:06:45,2026-06-17 09:04:45,2026-06-17 09:05:45,executed,标准轮 6：run_005 的重复轮，用于重复性检验
run_006,event_05,single_fault_serial,user,user-9c64594b7-ww7bs,pause,60s,2026-06-17 09:07:39,2026-06-17 09:08:40,2026-06-17 08:54:11,2026-06-17 09:02:11,2026-06-17 09:09:38,2026-06-17 09:07:38,2026-06-17 09:08:38,executed,标准轮 6：run_005 的重复轮，用于重复性检验
run_006,event_14,single_fault_serial,catalogue,catalogue-744d46f784-b8m2g,pause,75s,2026-06-17 09:10:17,2026-06-17 09:11:17,2026-06-17 08:54:11,2026-06-17 09:02:11,2026-06-17 09:12:15,2026-06-17 09:10:15,2026-06-17 09:11:15,executed,标准轮 6：run_005 的重复轮，用于重复性检验
run_006,event_10,single_fault_serial,user,user-9c64594b7-ww7bs,pause,60s,2026-06-17 09:12:55,2026-06-17 09:13:55,2026-06-17 08:54:11,2026-06-17 09:02:11,2026-06-17 09:14:53,2026-06-17 09:12:53,2026-06-17 09:13:53,executed,标准轮 6：run_005 的重复轮，用于重复性检验
run_006,event_03,single_fault_serial,front-end,front-end-87ff7b849-6bg67,pause,60s,2026-06-17 09:15:56,2026-06-17 09:16:56,2026-06-17 08:54:11,2026-06-17 09:02:11,2026-06-17 09:17:53,2026-06-17 09:15:53,2026-06-17 09:16:53,executed,标准轮 6：run_005 的重复轮，用于重复性检验
